max_temp,min_temp,avg_temp,max_wind,total_precip,total_snow,avg_visibility,avg_humidity,condition,uv_index
26.6,21.6,23.6,28.3,1.4,0.0,10.0,83,6,6.0
27.0,21.4,23.6,27.4,0.8,0.0,10.0,83,6,6.0
27.9,20.8,23.7,25.9,0.2,0.0,9.3,82,6,6.0
27.6,20.7,23.5,23.8,0.6,0.0,8.7,83,6,6.0
28.0,20.3,23.5,22.7,0.2,0.0,7.4,82,6,6.0
27.3,20.0,23.2,25.6,0.3,0.0,8.3,82,6,6.0
26.6,20.5,23.2,25.6,0.9,0.0,8.6,82,6,6.0
27.4,20.1,23.2,23.4,0.8,0.0,8.3,81,6,6.0
27.0,20.8,23.3,23.8,0.3,0.0,9.3,81,6,6.0
28.2,20.2,23.4,24.5,1.6,0.0,7.7,80,6,6.0
27.5,20.0,23.4,23.4,2.0,0.0,7.3,82,3,6.0
26.6,20.3,23.0,23.0,0.4,0.0,8.0,82,6,6.0
23.8,20.4,21.8,18.7,1.55,0.0,8.2,91,0,5.0
25.2,20.3,22.3,20.9,0.6,0.0,6.7,89,6,6.0
28.2,20.1,23.4,24.5,0.4,0.0,6.5,84,6,6.0
28.9,20.0,23.8,22.0,0.3,0.0,7.6,81,6,6.0
28.0,20.1,23.5,24.5,0.5,0.0,8.3,82,6,6.0
27.4,20.8,23.5,23.0,2.6,0.0,8.0,83,0,6.0
27.9,20.4,23.6,27.7,0.9,0.0,8.3,82,1,6.0
28.4,20.2,23.8,29.2,0.1,0.0,7.4,80,2,6.0
27.8,20.5,23.4,28.1,0.1,0.0,8.3,82,6,6.0
28.1,19.4,23.0,27.4,0.1,0.0,7.8,82,2,6.0
26.2,20.2,22.5,18.4,0.2,0.0,8.3,85,6,6.0
29.9,19.6,23.7,20.5,0.9,0.0,6.6,81,1,6.0
30.4,20.0,24.3,21.2,3.5,0.0,7.2,80,3,7.0
29.9,20.8,24.6,19.4,4.6,0.0,7.3,83,6,6.0
28.8,21.2,24.1,22.0,2.8,0.0,9.0,84,1,6.0
27.0,21.0,23.2,16.9,11.1,0.0,9.0,89,1,6.0
24.6,20.7,21.9,15.5,25.2,0.0,7.8,92,1,5.0
27.6,21.1,23.5,17.6,1.8,0.0,6.7,86,1,6.0
27.5,20.6,23.2,24.5,0.0,0.0,8.0,84,5,6.0
27.9,20.5,23.6,26.3,0.1,0.0,6.9,84,2,6.0
23.5,20.9,22.2,20.5,0.3,0.0,9.8,88,6,5.0
26.8,20.8,23.1,28.8,1.6,0.0,9.1,87,1,6.0
27.1,21.1,23.3,26.6,0.6,0.0,8.3,87,1,6.0
27.8,20.9,23.5,26.6,0.1,0.0,6.5,85,6,6.0
28.0,20.7,23.4,27.4,0.0,0.0,6.6,84,2,6.0
27.5,20.2,23.0,26.3,0.0,0.0,6.5,85,2,6.0
27.7,20.8,23.3,24.1,0.0,0.0,6.6,85,2,6.0
27.0,20.2,22.9,26.3,0.0,0.0,7.2,86,2,6.0
26.0,20.7,22.9,31.3,0.7,0.0,9.3,85,6,6.0
26.2,20.8,22.8,28.8,1.2,0.0,9.8,87,6,6.0
27.6,20.3,23.0,26.3,0.2,0.0,8.7,84,6,6.0
27.6,20.0,22.9,27.0,3.44,0.0,5.8,88,1,6.0
27.6,20.9,23.3,25.2,0.49,0.0,7.4,85,6,6.0
28.0,20.9,23.5,23.8,0.33,0.0,6.3,87,6,6.0
27.2,21.0,23.2,19.8,0.09,0.0,6.3,87,6,6.0
28.3,20.4,23.3,22.0,1.21,0.0,5.2,87,1,6.0
27.5,20.6,23.2,23.8,1.36,0.0,5.3,86,1,6.0
28.3,20.5,23.3,22.0,0.61,0.0,5.2,85,6,6.0
27.5,20.1,23.1,18.7,6.51,0.0,7.5,87,1,6.0
27.0,21.0,23.4,14.0,8.06,0.0,6.8,87,1,6.0
27.8,20.5,23.4,16.2,18.08,0.0,8.4,89,0,6.0
28.9,21.0,24.0,15.8,8.84,0.0,7.5,86,1,6.0
26.0,21.0,22.9,19.1,2.66,0.0,8.0,90,1,6.0
23.8,20.5,22.2,20.2,23.87,0.0,8.5,95,0,5.0
27.9,20.7,23.0,18.0,1.25,0.0,8.3,85,6,6.0
28.0,20.7,23.2,14.8,4.47,0.0,7.3,85,1,6.0
26.2,21.1,22.9,13.0,6.83,0.0,6.4,88,1,6.0
28.5,20.4,23.3,14.0,3.42,0.0,7.1,85,1,6.0
29.4,19.5,23.3,18.0,0.15,0.0,6.6,82,6,6.0
30.5,20.7,24.3,12.2,0.07,0.0,8.7,78,6,7.0
30.9,20.1,24.6,10.8,0.0,0.0,9.7,72,7,8.0
31.0,20.4,24.8,11.9,0.0,0.0,10.0,74,7,8.0
31.6,20.7,25.0,10.1,0.09,0.0,10.0,72,6,7.0
32.0,21.8,25.7,10.8,0.19,0.0,10.0,71,6,7.0
31.7,22.2,25.5,11.9,0.11,0.0,10.0,68,6,7.0
32.2,22.3,26.4,16.6,0.01,0.0,10.0,62,6,7.0
32.5,21.7,25.9,12.6,0.01,0.0,10.0,63,6,7.0
31.2,20.6,25.0,10.8,1.17,0.0,10.0,69,1,7.0
30.4,21.0,24.5,9.4,4.16,0.0,9.9,74,1,7.0
30.8,23.1,25.5,8.6,2.15,0.0,9.8,68,1,7.0
32.4,21.6,26.2,15.1,0.07,0.0,10.0,64,6,7.0
31.4,21.9,26.1,14.0,0.0,0.0,10.0,61,5,7.0
32.0,21.8,26.5,14.4,0.0,0.0,10.0,56,5,8.0
30.8,22.0,26.2,14.0,0.02,0.0,10.0,58,6,7.0
32.0,22.2,26.1,17.3,0.0,0.0,10.0,51,5,7.0
31.6,19.9,24.9,13.3,0.0,0.0,10.0,47,7,8.0
31.3,19.8,24.6,10.1,0.0,0.0,10.0,51,5,8.0
31.2,19.3,24.6,11.9,0.0,0.0,10.0,50,5,8.0
31.5,18.7,24.3,15.8,0.0,0.0,10.0,40,7,8.0
30.7,17.7,23.6,14.0,0.0,0.0,10.0,40,7,8.0
30.6,17.8,23.6,13.0,0.0,0.0,10.0,43,7,8.0
31.8,18.6,24.6,11.5,0.0,0.0,10.0,52,5,8.0
31.1,22.0,25.1,12.6,6.68,0.0,9.8,67,1,7.0
30.1,20.6,24.4,14.4,2.5,0.0,9.7,73,6,7.0
31.3,22.3,25.5,9.4,2.34,0.0,9.9,65,6,7.0
32.1,18.4,24.7,10.8,0.0,0.0,10.0,48,7,8.0
32.8,19.2,25.4,11.9,0.0,0.0,10.0,47,5,8.0
32.9,20.3,25.7,12.6,0.0,0.0,10.0,54,5,8.0
31.6,21.1,25.9,14.8,0.01,0.0,10.0,61,4,7.0
30.4,20.6,25.0,16.2,0.01,0.0,10.0,54,7,8.0
29.2,21.2,24.3,15.5,4.39,0.0,9.9,66,1,6.0
28.2,21.1,23.6,11.5,11.23,0.0,9.7,80,1,6.0
27.7,20.5,23.3,17.3,8.9,0.0,9.1,81,6,6.0
27.9,20.8,23.7,16.2,19.7,0.0,9.8,82,0,6.0
29.3,20.0,24.1,16.6,0.1,0.0,9.0,75,2,6.0
30.4,20.5,24.8,18.4,0.0,0.0,10.0,59,7,8.0
30.1,20.9,24.5,12.2,0.0,0.0,10.0,60,5,8.0
30.0,19.8,24.7,10.1,0.0,0.0,10.0,57,5,8.0
30.4,18.7,24.0,11.5,0.0,0.0,10.0,53,7,8.0
29.8,18.4,23.6,11.2,0.0,0.0,10.0,51,7,7.0
30.0,18.6,23.7,12.6,0.0,0.0,10.0,52,7,7.0
30.7,19.5,24.5,11.2,0.0,0.0,10.0,51,7,8.0
31.4,22.9,26.3,15.8,0.0,0.0,10.0,57,5,7.0
30.9,22.0,25.8,15.5,0.0,0.0,10.0,52,5,8.0
30.4,19.6,24.4,14.0,0.0,0.0,10.0,47,7,8.0
30.9,18.4,24.0,13.0,0.0,0.0,10.0,47,7,8.0
31.2,20.9,25.1,13.0,0.01,0.0,10.0,57,6,7.0
30.4,21.7,25.5,12.2,2.12,0.0,9.8,65,6,7.0
30.1,21.4,24.6,17.3,7.61,0.0,9.7,73,1,7.0
30.5,22.3,25.3,20.5,0.96,0.0,10.0,62,6,7.0
29.7,20.5,24.4,8.3,2.01,0.0,9.8,70,6,6.0
30.6,19.9,24.4,10.4,2.44,0.0,9.8,72,6,7.0
30.5,20.4,24.2,13.0,0.79,0.0,9.9,72,6,7.0
31.5,20.3,24.9,14.4,0.05,0.0,10.0,68,6,7.0
31.7,20.6,25.0,13.0,0.0,0.0,10.0,65,5,8.0
30.5,20.2,25.1,14.4,0.01,0.0,10.0,58,6,7.0
30.3,19.7,24.7,13.7,0.0,0.0,10.0,55,7,8.0
30.1,19.9,24.5,18.4,0.0,0.0,10.0,55,7,8.0
29.9,19.0,23.7,17.6,0.0,0.0,10.0,54,7,7.0
29.3,19.1,23.4,15.5,0.0,0.0,10.0,69,5,7.0
30.2,19.2,23.9,10.4,0.0,0.0,10.0,60,5,8.0
30.4,19.2,24.9,16.9,0.0,0.0,10.0,57,4,7.0
30.3,19.2,24.6,18.4,0.0,0.0,10.0,58,5,8.0
31.6,21.5,26.3,13.7,0.0,0.0,10.0,53,5,8.0
30.9,19.8,24.7,12.2,0.0,0.0,10.0,52,7,8.0
30.8,18.6,23.8,12.2,0.0,0.0,10.0,49,7,8.0
30.7,17.8,23.5,13.7,0.0,0.0,10.0,45,7,8.0
29.5,16.3,22.3,17.6,0.0,0.0,10.0,47,7,7.0
29.0,15.6,21.6,15.1,0.0,0.0,10.0,46,7,7.0
27.6,17.4,22.4,14.0,0.0,0.0,10.0,58,5,7.0
28.6,20.0,24.5,20.2,0.38,0.0,10.0,66,6,6.0
29.9,20.2,25.1,25.2,0.0,0.0,10.0,55,5,7.0
27.0,19.2,22.6,22.0,0.0,0.0,10.0,53,5,7.0
29.6,18.9,23.1,14.8,0.0,0.0,10.0,47,5,7.0
31.2,17.4,23.6,15.5,0.0,0.0,10.0,45,5,8.0
31.0,18.5,24.0,11.5,0.0,0.0,10.0,31,7,8.0
31.4,17.4,23.6,16.2,0.0,0.0,10.0,35,7,8.0
31.2,16.4,22.8,20.5,0.0,0.0,10.0,38,7,8.0
32.1,16.7,23.4,21.6,0.0,0.0,10.0,41,7,8.0
32.0,17.2,23.8,16.9,0.0,0.0,10.0,40,4,7.0
31.7,17.1,23.5,16.9,0.0,0.0,10.0,41,7,8.0
32.0,16.3,23.3,19.8,0.0,0.0,10.0,41,7,8.0
31.6,15.7,22.7,17.3,0.0,0.0,10.0,36,7,8.0
31.2,15.7,22.7,14.0,0.0,0.0,10.0,39,7,8.0
31.1,16.7,23.1,14.4,0.0,0.0,10.0,36,7,8.0
30.7,16.4,22.6,13.3,0.0,0.0,10.0,41,7,8.0
31.1,17.5,23.6,15.1,0.0,0.0,10.0,42,7,8.0
31.4,18.1,23.7,15.5,0.0,0.0,10.0,43,5,8.0
27.0,20.1,23.5,15.5,0.16,0.0,10.0,57,6,6.0
31.4,17.9,23.0,20.9,0.0,0.0,10.0,65,5,7.0
31.1,18.2,23.2,13.3,0.0,0.0,10.0,49,5,8.0
31.1,18.2,24.2,20.9,0.0,0.0,10.0,48,5,8.0
31.4,17.9,24.3,24.8,0.06,0.0,10.0,50,4,7.0
28.7,19.6,23.9,18.0,0.42,0.0,10.0,65,6,6.0
31.1,21.1,25.7,13.3,0.08,0.0,10.0,55,4,7.0
32.2,19.9,25.6,15.5,0.0,0.0,10.0,46,5,8.0
33.0,19.3,25.5,18.0,0.0,0.0,10.0,39,7,8.0
33.2,19.6,25.4,11.5,0.0,0.0,10.0,44,7,8.0
33.5,19.6,25.4,16.2,0.0,0.0,10.0,40,7,8.0
32.1,17.9,24.2,13.7,0.0,0.0,10.0,33,7,8.0
32.6,17.7,23.5,23.4,0.0,0.0,10.0,38,7,8.0
31.5,16.1,22.0,23.4,0.0,0.0,10.0,50,7,8.0
30.4,14.7,20.9,23.0,0.0,0.0,10.0,59,7,8.0
31.7,15.2,22.2,23.0,0.0,0.0,10.0,54,7,8.0
32.1,17.3,23.1,25.2,0.0,0.0,10.0,53,7,8.0
32.4,16.9,23.2,19.1,0.0,0.0,10.0,46,7,8.0
33.2,16.9,23.1,22.7,0.0,0.0,10.0,47,7,8.0
32.0,14.9,21.9,12.6,0.0,0.0,10.0,46,7,8.0
30.9,15.2,21.9,14.8,0.0,0.0,10.0,39,7,8.0
31.8,16.5,22.9,15.8,0.0,0.0,10.0,35,7,8.0
32.8,18.6,24.2,15.1,0.0,0.0,10.0,40,7,8.0
32.6,19.1,24.9,14.8,0.0,0.0,10.0,42,7,8.0
31.4,18.0,23.8,15.1,0.0,0.0,10.0,44,7,8.0
31.3,17.5,23.6,11.9,0.0,0.0,10.0,42,7,8.0
32.6,18.3,24.1,15.5,0.0,0.0,10.0,41,7,8.0
32.8,17.8,23.5,26.3,0.0,0.0,10.0,45,7,8.0
31.5,14.7,21.6,21.6,0.0,0.0,10.0,56,7,8.0
32.0,15.4,23.0,17.6,0.0,0.0,10.0,46,7,8.0
33.5,18.2,25.1,18.7,0.0,0.0,10.0,28,7,8.0
34.0,19.4,26.0,15.5,0.0,0.0,10.0,32,7,8.0
35.1,20.2,26.6,10.8,0.0,0.0,10.0,36,7,9.0
35.4,21.7,27.3,11.5,0.0,0.0,10.0,37,7,9.0
35.9,21.7,27.5,15.5,0.0,0.0,10.0,36,7,9.0
35.8,21.1,27.3,19.8,0.0,0.0,10.0,34,7,9.0
35.2,21.3,27.2,14.0,0.0,0.0,10.0,32,7,9.0
35.7,21.1,26.9,27.4,0.0,0.0,10.0,30,7,9.0
35.5,20.3,26.3,27.7,0.0,0.0,10.0,31,7,9.0
34.9,19.9,26.1,23.0,0.0,0.0,10.0,27,7,8.0
34.5,20.1,25.8,15.1,0.0,0.0,10.0,32,7,8.0
33.2,19.2,25.6,13.0,0.0,0.0,10.0,26,7,8.0
34.8,20.2,26.5,16.9,0.0,0.0,10.0,30,7,8.0
35.0,20.5,26.7,16.2,0.0,0.0,10.0,33,7,8.0
34.9,20.1,26.3,14.8,0.0,0.0,10.0,33,7,8.0
35.4,19.4,25.7,29.5,0.0,0.0,10.0,34,7,9.0
34.3,19.1,25.4,26.3,0.0,0.0,10.0,39,7,8.0
34.7,18.1,25.1,27.0,0.0,0.0,10.0,30,7,8.0
37.8,17.8,26.3,9.7,0.0,0.0,10.0,44,7,9.0
38.2,18.2,26.8,9.0,0.0,0.0,10.0,40,7,9.0
37.7,18.0,26.9,13.0,0.0,0.0,10.0,41,7,9.0
37.3,18.2,26.4,10.1,0.0,0.0,10.0,51,7,9.0
37.3,17.8,26.6,10.4,0.0,0.0,10.0,48,7,9.0
39.8,18.3,27.4,14.0,0.0,0.0,10.0,34,7,9.0
39.3,18.6,27.0,11.9,0.0,0.0,10.0,37,7,9.0
39.0,18.0,26.7,11.9,0.0,0.0,10.0,42,7,9.0
39.3,18.1,26.8,13.3,0.0,0.0,10.0,40,7,9.0
39.5,19.2,28.0,16.2,0.0,0.0,10.0,29,7,9.0
39.8,19.8,28.4,16.6,0.0,0.0,10.0,28,7,9.0
39.8,18.9,28.0,15.5,0.0,0.0,10.0,26,7,9.0
40.5,18.7,28.2,17.3,0.0,0.0,10.0,26,7,10.0
40.3,18.5,27.9,14.4,0.0,0.0,10.0,29,7,10.0
39.8,19.1,27.7,16.6,0.0,0.0,10.0,29,7,9.0
38.4,19.2,28.1,18.4,0.0,0.0,10.0,26,7,9.0
39.3,19.3,28.2,15.8,0.0,0.0,10.0,28,7,9.0
